,City,Country,Temperature,Humidity,Latitude,Longitude,Cloudiness,Wind Speed
411,Lábrea,BR,83.44,85,-7.2586,-64.7981,95,0.72
412,Pangody,RU,-21.14,87,65.85,74.4859,98,11.95
413,Suntar,RU,-22.86,87,62.1444,117.6319,89,2.64
414,Launceston,AU,55.8,94,-41.45,147.1667,40,11.5
415,Harper,LR,82.92,75,4.375,-7.7169,45,9.33
416,Zhigansk,RU,-41.3,80,66.7697,123.3711,43,10.13
417,São Filipe,CV,71.28,70,14.8961,-24.4956,8,16.2
418,Al Bardīyah,LY,62.6,65,31.7561,25.0865,0,2.91
419,Forsytheganj,BY,5.25,93,52.6333,29.7333,39,9.28
420,Hobyo,SO,77.99,72,5.3505,48.5268,2,12.86
421,Owando,CG,83.82,58,-0.4819,15.8999,35,1.16
422,Nuuk,GL,24.01,41,64.1835,-51.7216,0,25.99
423,Rawson,AR,66.87,50,-43.3002,-65.1023,25,17.9
424,Karasjok,NO,24.8,80,69.4719,25.5112,75,20.71
425,Broken Hill,AU,66.2,63,-31.95,141.4333,50,10.36
426,Kampene,CD,72.23,91,-3.6,26.6667,84,2.75
427,Guaraniaçu,BR,77.32,41,-25.1008,-52.8781,0,5.95
428,Amudat,UG,81.32,29,1.95,34.95,75,11.81
429,Te Anau,NZ,52.21,85,-45.4167,167.7167,26,1.01
430,Bay Roberts,CA,37.13,81,47.5999,-53.2648,90,5.75
431,Ürümqi,CN,12.2,92,43.801,87.6005,90,2.24
432,Mari-Turek,RU,-3.5,90,56.7895,49.6235,100,11.65
433,Atar,MR,75.96,19,20.5169,-13.0499,33,19.01
434,Mukdahan,TH,65.32,83,16.5833,104.5,11,7.18
435,Longyearbyen,SJ,23.0,74,78.2186,15.6401,75,5.75
436,Burayevo,RU,7.09,94,55.8407,55.4083,100,19.08
437,Kigorobya,UG,77.18,38,1.6162,31.3089,19,1.43
438,Seoul,KR,45.16,87,37.5683,126.9778,75,6.91
439,Nouadhibou,MR,71.6,49,20.931,-17.0347,0,19.57
440,Sokna,NO,11.5,83,60.24,9.9235,0,5.01
441,Yakeshi,CN,-18.98,84,49.2833,120.7333,0,3.53
442,Sawang Daen Din,TH,70.0,63,17.4753,103.4575,0,9.73
443,Leningradskiy,RU,-13.34,79,69.3833,178.4167,74,6.46
444,São João dos Patos,BR,84.97,60,-6.495,-43.7022,86,2.89
445,Orlik,RU,-5.8,81,52.5178,99.825,42,2.8
446,Paracuru,BR,82.99,71,-3.41,-39.0306,37,18.99
447,Rondonópolis,BR,88.66,49,-16.4708,-54.6356,45,7.0
448,Riachão das Neves,BR,80.13,66,-11.7461,-44.91,100,9.37
449,Abnūb,EG,66.2,59,27.2696,31.1511,0,10.36
450,Mount Isa,AU,73.4,100,-20.7333,139.5,75,9.22
451,Aksarka,RU,-34.15,81,66.5606,67.7975,74,18.16
452,Bosaso,SO,74.8,71,11.2842,49.1816,0,3.09
453,Nushki,PK,54.55,30,29.5542,66.0215,0,2.39
454,Korsholm,FI,14.86,92,63.1142,21.6822,0,5.75
455,Surgut,RU,33.8,100,61.25,73.4167,90,8.95
456,Nantucket,US,39.56,56,41.2835,-70.0995,1,17.27
457,Terrace,CA,30.2,100,54.5163,-128.6035,75,6.91
458,Parabel',RU,33.46,98,58.6978,81.4825,94,11.36
459,Meulaboh,ID,79.48,81,4.1363,96.1285,63,3.36
460,Touros,BR,89.6,45,-5.1989,-35.4608,40,14.97
461,Oeiras do Pará,BR,93.99,42,-2.0031,-49.8544,22,6.93
462,San Patricio,US,63.21,88,28.017,-97.5169,90,6.91
463,Vitina,BA,60.4,63,43.2375,17.4839,75,5.75
464,Nelson Bay,AU,69.53,100,-32.7167,152.15,40,6.06
465,Royan,FR,48.11,100,45.6285,-1.0281,75,11.5
466,Manokwari,ID,78.78,82,-0.8667,134.0833,100,5.68
467,Ferrol,ES,50.34,58,43.4832,-8.2369,9,7.0
468,Yinchuan,CN,32.29,77,38.4681,106.2731,0,4.23
469,Inírida,CO,85.01,75,3.8653,-67.9239,74,2.08
470,La Roda,ES,47.25,66,39.2167,-2.15,40,17.27
471,São João da Barra,BR,78.8,78,-21.6403,-41.0511,75,11.5
472,Buala,SB,80.28,81,-8.145,159.5921,97,11.77
473,Raudeberg,NO,27.16,46,61.9875,5.1352,0,6.91
474,Vlorë,AL,59.65,63,40.4667,19.4897,0,8.75
475,Oxford,GB,40.44,93,51.7522,-1.256,20,4.61
476,Bulgan,MN,2.07,81,48.8125,103.5347,0,2.64
477,Kysyl-Syr,RU,-37.89,81,63.8986,122.7617,46,5.1
478,Wajir,KE,95.0,34,1.7471,40.0573,20,7.94
479,Chitungwiza,ZW,75.0,67,-18.0127,31.0756,100,3.0
480,Jiexiu,CN,40.84,56,37.0244,111.9125,33,4.9
481,Redmond,US,43.0,87,47.674,-122.1215,100,10.54
482,Lorengau,PG,81.55,79,-2.0226,147.2712,49,5.55
483,Severnyy,RU,15.8,73,50.677,36.5532,75,13.42
484,Zabul Province,AF,42.96,56,32.25,67.25,6,2.77
485,Raton,US,39.04,27,36.9034,-104.4391,1,4.61
486,Asău,RO,30.0,76,46.4333,26.4,100,3.2
487,Kapit,MY,74.41,94,2.0167,112.9333,100,0.92
488,Dicabisagan,PH,75.6,88,17.0818,122.4157,87,5.28
489,Letlhakane,BW,78.64,63,-21.4167,25.5833,95,10.89
490,Kaa-Khem,RU,5.25,88,51.6833,94.7333,31,3.47
491,Hirara,JP,70.03,64,24.8,125.2833,0,6.69
492,Seddon,AU,62.01,82,-37.8068,144.8916,40,12.66
493,Saravan,AM,37.4,87,39.7196,45.6483,20,9.22
494,Qeshm,IR,67.08,77,26.9581,56.2719,0,4.61
495,Magadan,RU,2.91,87,59.5667,150.8,88,12.28
496,Aitape,PG,79.14,79,-3.1374,142.3475,100,4.59
497,Kodinsk,RU,9.66,94,58.6881,99.1844,100,4.59
498,Vostok,RU,-11.34,91,46.4856,135.8833,100,2.62
499,Amboasary,MG,86.0,70,-25.0333,46.3833,40,9.22
500,Kitakata,JP,39.0,78,37.65,139.8667,90,4.63
501,Saint-Pierre,RE,79.59,74,-21.3393,55.4781,40,6.91
502,Umm Kaddadah,SD,66.99,25,13.6017,26.6876,0,12.17
503,Strängnäs,SE,17.44,73,59.3774,17.0312,75,5.75
504,Warmbad,NA,94.08,11,-28.45,18.7333,0,19.64
505,Gigmoto,PH,78.4,86,13.7796,124.39,64,9.91
506,Grand-Santi,GF,80.64,90,4.25,-54.3833,86,4.79
507,Lewisporte,CA,31.42,93,49.2499,-55.0482,90,13.8
508,Jaguarão,BR,80.73,50,-32.5661,-53.3758,0,8.68
509,Margate,GB,44.42,91,51.3813,1.3862,99,3.0
510,Nzega,RW,59.4,90,-2.479,29.5564,91,2.77
511,Cockburn Town,TC,82.4,65,21.4612,-71.1419,40,17.27
512,Buchanan,LR,80.6,78,5.8808,-10.0467,75,3.44
513,Singapore,SG,77.94,83,1.2897,103.8501,75,4.61
514,Hamilton,US,27.19,46,39.1834,-84.5333,1,4.16
515,Ternovka,RU,7.59,94,51.678,41.6375,100,12.01
516,Ulaangom,MN,-7.15,89,49.9811,92.0667,6,1.77
517,Sharan,RU,0.16,91,54.8167,54.0,100,17.49
518,Doha,QA,69.87,78,25.2867,51.5333,0,6.91
519,Ixtapa,MX,68.0,73,20.7,-105.2,1,5.75
520,Bonaventure,CA,30.2,100,48.0457,-65.4926,99,6.91
521,Big Spring,US,56.8,24,32.2504,-101.4787,1,23.02
522,Kirakira,SB,79.61,81,-10.4544,161.9205,96,5.48
523,Xichang,CN,45.95,55,27.8964,102.2634,0,1.28
524,Arman',RU,0.14,88,59.7,150.1667,98,9.69
525,Stettler,CA,-18.4,83,52.3168,-112.7186,100,1.14
526,San Francisco,US,48.45,76,37.7749,-122.4194,1,4.34
527,Haimen,CN,60.8,82,23.1935,116.6142,0,4.25
528,Wasilla,US,11.19,85,61.5814,-149.4394,90,0.51
529,Flint,US,16.92,62,43.0125,-83.6875,90,18.41
530,Monrovia,LR,80.6,78,6.3005,-10.7969,75,3.44
531,Makakilo City,US,61.52,82,21.3469,-158.0858,75,3.44
532,Maryville,US,46.02,56,35.7565,-83.9705,75,4.61
533,Marovoay,MG,82.4,74,-16.1,46.6333,40,5.75
534,Sulangan,PH,80.37,81,11.1373,123.7228,16,15.79
535,Marsá Maţrūḩ,EG,60.8,82,31.3525,27.2453,0,5.75
536,Mandalgovi,MN,6.76,85,45.7625,106.2708,72,8.16
537,Almaznyy,RU,23.0,74,48.0448,40.045,0,6.71
538,Abapó,BO,90.34,31,-18.8333,-63.4667,73,3.98
539,La Ronge,CA,-29.2,68,55.1001,-105.2842,2,5.75
540,Viesca,MX,62.6,16,25.35,-102.8,1,2.13
541,Avera,US,48.47,46,33.194,-82.5271,90,8.05
542,Solton,RU,24.46,97,52.8429,86.4787,85,2.98
543,Digha,IN,71.1,58,21.6833,87.55,24,10.27
544,Dwārka,IN,70.03,46,22.2394,68.9678,0,13.0
545,Oktyabr'skiy,RU,-0.27,90,54.4815,53.471,100,12.97
546,Korčula,HR,60.39,63,42.9622,17.1369,75,5.75
547,Yorkton,CA,-25.6,68,51.2167,-102.4677,1,13.8
548,Sanchursk,RU,-3.86,91,56.9413,47.2499,100,12.19
549,Örnsköldsvik,SE,21.2,86,63.2909,18.7153,20,6.91
550,Koygorodok,RU,-6.39,90,60.445,50.9968,100,10.67
551,Lodwar,KE,89.87,30,3.1191,35.5973,25,6.69
552,Havre-St-Pierre,CA,30.2,100,50.2334,-63.5986,90,14.97
553,Roald,NO,22.46,58,62.5833,6.1333,0,8.05
554,Itarema,BR,87.78,55,-2.9248,-39.9167,61,15.7
555,Gerede,TR,41.4,68,40.8008,32.1969,1,5.01
556,Sinnamary,GF,79.99,84,5.3833,-52.95,89,15.64
557,Coyhaique,CL,68.0,45,-45.5752,-72.0662,0,9.22
558,Itapé,PY,79.57,53,-25.85,-56.6167,0,7.29
559,Bubaque,GW,79.63,59,11.2833,-15.8333,23,16.37
560,Pascagoula,US,49.98,87,30.3658,-88.5561,90,8.05
561,Gari,RU,7.9,95,59.4307,62.3497,100,11.41
562,Takoradze,GH,83.07,78,4.8845,-1.7554,38,10.78
563,Varkaus,FI,9.7,79,62.3153,27.873,20,10.36
564,Santa Fe,AR,88.14,33,-31.6333,-60.7,0,1.99
565,Nanyuki,KE,61.95,69,0.0167,37.0728,84,4.45
566,Teruel,ES,47.79,76,40.6667,-0.6667,75,10.36
567,Setermoen,NO,23.0,80,68.861,18.3486,75,9.22
568,Urengoy,RU,-12.91,89,65.9667,78.3667,100,12.28
569,Santa Maria,BR,75.2,57,-29.6842,-53.8069,20,4.61
570,Bintulu,MY,77.0,100,3.1667,113.0333,40,6.06
571,Port Hardy,CA,43.48,100,50.6996,-127.4199,90,9.22
572,Davidson,US,41.72,75,36.1501,-86.7833,75,4.68
573,Bonavista,CA,33.57,86,48.6499,-53.1147,100,5.75
574,Sibolga,ID,77.47,80,1.7427,98.7792,72,3.8
575,Nelidovo,RU,3.18,93,56.2211,32.7774,100,7.54
576,Novy Urengoy,RU,-18.89,87,66.0833,76.6333,99,12.82
577,Belaya Gora,RU,-30.46,83,68.5333,146.4167,52,1.9
578,Sikandrabad,IN,59.0,88,28.45,77.7,0,4.61
579,Ayr,GB,40.59,75,55.4627,-4.6339,40,13.8
580,Okhotsk,RU,2.26,90,59.3833,143.3,100,8.72
581,Kohima,IN,47.88,82,25.6667,94.1167,0,2.01
582,Lompoc,US,48.43,81,34.6391,-120.4579,1,5.75
583,Ubari,LY,72.19,20,26.5921,12.7805,72,13.31
584,Sovetskiy,RU,-3.78,92,61.3614,63.5842,100,12.24
